Username,Type ,Serena's classification,,who is scraping ,Verified by,Reason,verification notes,Scraping notes,"Tertiary Annotation: Type 1 = fake seller, Type 0 = established seller, Type 2 = new seller",,,,,,,,,,,,,,,,
supremefj94,,0,,Bofei,Esther,,,,0,,,,,,,,,,,,,,,,
skinfurther,,1,,Bofei,Esther,"many negative reviews, never received items",,,1,,,,,,,,,,,,,,,,
gothmfswag,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
acevintageoutpost,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
codylee1337,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
homeless_vtg,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
b707vintage,,1,,Bofei,Esther,,,,1,,,,,,,,,,,,,,,,
aidxnbxdley,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
bam01,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
215winny,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
majorityruleclothes,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
vtguni,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
onseam,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
camphalfblood,,1,,Bofei,Esther,unsure,,,1,,,,,,,,,,,,,,,,
cheweyap,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
revivalstudios,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
snyder_lucy,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
clothesfromo,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
rileydowns06,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
idprollypass,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mmuenz54,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
raggarments,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
vntggarden,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
portcitywordrobe,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jacob4ney18,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
sstvintage,,1,,Bofei,,unsure,,,1,,,,,,,,,,,,,,,,
alexyee,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
brentsells,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
larryp20,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jussvintage_,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
steadyp,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mcua,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
thebasementvintage_,,0,,Bofei,Esther,"sus, lots of posts but no reviews. no proof tho",I changed it because I looked at their ig (in the profile bio) and it seemed legit,,0,,,,,,,,,,,,,,,,
501thrifts,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
g1rlsnextdoor,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
dustedbrooklyn,,1,,Bofei,Esther,a few scam reviews but 90% positive,"""Then [the seller] threatened to whoop me cause I said he sucks at communicating""",,0,,,,,,,,,,,,,,,,
juanbanda__,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
tutuclothes,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
bsresale,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
vrovert,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
lookhomeless,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
holygrailvintagellc,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
lvndrcloset,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
swerveshop,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
wilchy,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
anthonyflint,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
funez,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
offmybackvintage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
montana_vintage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
thriftedrags_,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
nickeastin,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
triplepoints,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
goatedsales,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mcthrift15,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
blackleathercouch,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
550_vintage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
allthingsvtg,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
cottononthewall,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
maxchauncie,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
secondhandhomie1,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
eighthstreet,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
soldbyalec,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
siredwardthrifts,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jayyxyay,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
lolas_locker,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
droppindealz,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
ktvintage0,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
donesimply,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
steezythreadz,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
greycin,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
aaronehouse,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mashousevintage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
californiarecycledclothing,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
wardrobe_obscurum,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
amajesticfind,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
luvmica,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
vintagelistings,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
guythrifts,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
tysgarage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
calmkicks,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
brandusedapparel,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
amybianucci,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
pupsvtg,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
theresar,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
founditthriftin,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
meangreta,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
doubleafits,,,,Bofei,,no postings,,,,,,,,,,,,,,,,,,,
colfacts,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
todreer,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
uglycore,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
roccosvintage_,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
annalisafarina,,,,,,doesnt exist,,deleted,,,,,,,,,,,,,,,,,
throughvalseye,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
threadedwizard,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
nathanaltman,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
chairtoss,,1,,Serena,Esther,"inconsistent backgrounds, photos from poshmark",,,0,,,,,,,,,,,,,,,,
fdstore,,0,,Serena,,,,skip,,,,,,,,,,,,,,,,,
shadyvtg,,1,,Serena,Esther,"not necessarily scammer, but lots of reviews about inaccurate listing/not shipped items",mostly miscommunication but enough unshipped items,,1,,,,,,,,,,,,,,,,
urbaneer,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
ay000000000,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
antislittle,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
vintagefeed,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
phoenixclubb,,0,,Serena,,sus,,,0,,,,,,,,,,,,,,,,
bradlopez12,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
shopjustsomethings,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
sccthriftstore,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
austinhaech,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
gandalfswardrobe,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
bonesclothing253,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
s9x,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
dxvxdco,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
collinyates,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
dirigovintage,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
bluffcitygear901,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
carhartwarrior,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
dork9000,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
scthriftz,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
lwatson1996,,0,,Serena,,,,,2,,,,,,,,,,,,,,,,
notgelia,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
korembi,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
emeraldvtg,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
thehoff55,,0,,Serena,,,,,2,,,,,,,,,,,,,,,,
jasonadolphus,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
texashippie8,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
wog1nrich,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
hustlinhivtg,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
yoltzinsfashion,,0,,Serena,,,,,0,,,,,,,,,,,,,,,,
pjp_vintage,,0,,Serena,,,,,,,,,,,,,,,,,,,,,
nateball,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
made_new_threads,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
thetigerthreads,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
nickisfinds,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
maddison_kruse,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
eathriftfinds,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
loganrobinn,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
secondchancesupply,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
hallidayscloset,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jacobfrericks,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
gorenee,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
pepinosthrift,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
thriftyhands,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
anthonyvark,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
rcaamano,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
sawserna,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
corduroycatvintage,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
wabisobby,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
enavar20,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
1garf,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
xchyy,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
jacklyyy,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
cash_money4,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
nomill2day,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
pharlandvtg,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
usebuyeeinstead,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
abbyshipnuck,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
chanbling,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
andygarcia27,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
anomaly_curatedbycris,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
rachelkjhgfdsa,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mb_thrifts,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
lastcall,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
punkhamster,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
btsellz,,,,Kylie,,,,,2,,,,,,,,,,,,,,,,
1garf,,,,Kylie,,,,,0,,,,,,,,,,,,,,,,
brxysk,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
beck_murdock,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
vestureportal,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
damedollathrift,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
dayanara_n,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
donesimply,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
pjp_vintage,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
patricksmith0588,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
obsessin,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
colfacts,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
viperbusiness,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
zakerone,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
kaidamarie,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
,,,,Kylie,,,,,,,,,,,,,,,,,,,,,
